venue_id,pricing_model,label,price,currency,tier_audience,days,time_start,time_end,duration_minutes,group_size_min,group_size_max,venue_confidence,notes,source_quote,data_quality_notes
ph-pickleball-camp-timberland-san-mateo,session_per_player,Introduction & Coaching Session · Per Player,500,PHP,walk_in,mon,18:00,22:00,240,,,low,"Single observed Reclub event (TPC Pickleball Introduction and Coaching, Jan 19). Payment via GCash to organiser. This is a specific coached session, not confirmed as a standing rate. Reclub displays '$' but PHP is assumed for PH venue.","Per Player
$500.00","Only one verifiable pricing data point exists: a single Reclub coaching event at ₱500/player for 4 hours on a Monday evening — this is a specific organised session, not a published standing rate. The official Timberland Resort sports/leisure rates page returned a 404, and the Facebook group is login-gated, so the legacy-hinted rates of ₱200–250/player (open play) and ₱400/hour (court rental) could not be verified from any available source. No operating hours were recoverable from any source."
ph-pickleball-central-ph-pcph-pampanga-angeles,unknown,Open Play (Mon/Wed/Fri),200,PHP,,mon|wed|fri,17:00,21:00,,,,low,PDF lists 'p200' without specifying per player or per court/hour. PDF also lists only 9 outdoor courts whereas Facebook now states 15 indoor courts — entry may be stale or reflect an earlier configuration. Pricing model is uncertain.,"Pickleball Central Angeles Pampanga 9 Outdoor Mon, Wed, Fri, 5p-9p p200 Justine Joshua Flores","Facebook and Instagram pages were blocked by login walls, yielding no pricing or hours data. The only recoverable rate (₱200) comes from the Philippine Pickleball Federation PDF, which lists 9 outdoor courts and a Mon/Wed/Fri 5–9 PM schedule — conflicting with the venue's current Facebook description of 15 indoor courts, suggesting the PDF entry is outdated. The ₱200 figure lacks a unit (per player vs. per court), so the pricing model cannot be determined with confidence."
ph-pickleball-hq-binan-binan,court_hour,Court rental (standard),500,PHP,,,,18:00,60,,,low,Standard rate before 6 PM,"Court rental ₱500/court/hour standard, ₱600/court/hour from 6pm. Per Pickleheads listing.","Both primary sources were inaccessible at scrape time: Facebook returned a login wall and Pickleheads.com returned a Cloudflare block. All pricing data is sourced exclusively from legacy normaliser hints attributed to a prior Pickleheads listing. The open play rate range (₱200–₱275/player) lacks tier labels, so two rows were emitted but the exact split criteria (time slot, member vs. non-member, etc.) is unconfirmed. Operating hours could not be extracted from any source."
ph-pickleball-hq-binan-binan,court_hour,"Court rental (peak, from 6 PM)",600,PHP,,,18:00,,60,,,low,Peak rate from 6 PM onwards,"Court rental ₱500/court/hour standard, ₱600/court/hour from 6pm. Per Pickleheads listing.","Both primary sources were inaccessible at scrape time: Facebook returned a login wall and Pickleheads.com returned a Cloudflare block. All pricing data is sourced exclusively from legacy normaliser hints attributed to a prior Pickleheads listing. The open play rate range (₱200–₱275/player) lacks tier labels, so two rows were emitted but the exact split criteria (time slot, member vs. non-member, etc.) is unconfirmed. Operating hours could not be extracted from any source."
ph-pickleball-hq-binan-binan,session_per_player,Open Play (lower tier),200,PHP,,,,,,,,low,"Lower end of open play range ₱200–₱275/player; tier breakdown (e.g. member vs non-member, or session time) not confirmed in available sources",Open Plays ₱200-275/player. Per Pickleheads listing.,"Both primary sources were inaccessible at scrape time: Facebook returned a login wall and Pickleheads.com returned a Cloudflare block. All pricing data is sourced exclusively from legacy normaliser hints attributed to a prior Pickleheads listing. The open play rate range (₱200–₱275/player) lacks tier labels, so two rows were emitted but the exact split criteria (time slot, member vs. non-member, etc.) is unconfirmed. Operating hours could not be extracted from any source."
ph-pickleball-hq-binan-binan,session_per_player,Open Play (upper tier),275,PHP,,,,,,,,low,Upper end of open play range ₱200–₱275/player; tier distinction not confirmed in available sources,Open Plays ₱200-275/player. Per Pickleheads listing.,"Both primary sources were inaccessible at scrape time: Facebook returned a login wall and Pickleheads.com returned a Cloudflare block. All pricing data is sourced exclusively from legacy normaliser hints attributed to a prior Pickleheads listing. The open play rate range (₱200–₱275/player) lacks tier labels, so two rows were emitted but the exact split criteria (time slot, member vs. non-member, etc.) is unconfirmed. Operating hours could not be extracted from any source."
ph-pickleball-hub-tiendesitas-pasig,session_per_player,Open play session (per player),150,PHP,walk_in,,,,,,,medium,Legacy notes reference a ₱150–200 range from pickleball.ph PDF; upper tier not recoverable from available sources. Pickleheads describes this as a one-time fee required to play.,p150 per session,"The only recoverable price is ₱150/session from Pickleheads; legacy hints suggest a ₱150–200 range (e.g. from a pickleball.ph PDF) but the upper tier is not confirmed by any directly quoted source. Hours are inferred from the Courtified booking calendar (first slot 8:00 AM, last visible slot 10:00 PM–11:00 PM); the Facebook Extension page cover photo shows ""Open Daily | 10 AM – 10 PM"" but that page refers to a separate Extension venue, so it was not used for primary hours."
ph-pickleball-mania-montalban-rodriguez,session_per_player,Unlimited play per person,100,PHP,walk_in,,,,,,,low,Unlimited play for the session,Unlimited play ₱100 per person,"No pricing or hours information was recoverable from any of the live source pages (Reclub showed no description, Facebook was login-gated). All three pricing rows are sourced exclusively from the legacy normaliser notes, which themselves have no verifiable origin. Hours are entirely unknown."
ph-pickleball-mania-montalban-rodriguez,court_hour,Court rental,200,PHP,,,,,60,,,low,,rent a court at ₱200 per hour,"No pricing or hours information was recoverable from any of the live source pages (Reclub showed no description, Facebook was login-gated). All three pricing rows are sourced exclusively from the legacy normaliser notes, which themselves have no verifiable origin. Hours are entirely unknown."
ph-pickleball-mania-montalban-rodriguez,entry_fee,Paddle rental,50,PHP,,,,,,,,low,Add-on paddle rental fee,Paddle rental is ₱50,"No pricing or hours information was recoverable from any of the live source pages (Reclub showed no description, Facebook was login-gated). All three pricing rows are sourced exclusively from the legacy normaliser notes, which themselves have no verifiable origin. Hours are entirely unknown."
ph-pickler-s-lounge-at-ayala-malls-cloverleaf-quezon-city,session_per_player,Sunday Open Play · 4 hours · 3 courts,275,PHP,walk_in,sun,10:00,14:00,240,,30,medium,Win-lose format. 3 air-conditioned indoor courts. Max 30 confirmed players; waitlisted players must not pay until accepted. Slot may be sold to another player if unable to attend. Court shoes and protective eyewear required. Hosted by Court Hoppers.,"Per Player
$275.00

OPEN PLAY at 3 air-conditioned courts. Win-lose format to facilitate playing with various players and learning from different playing styles/skills.

10am-2pm
4 hours","The only recoverable numeric rate is PHP 275/player for a specific Sunday open-play session on Reclub (displayed as ""$275.00"" — treated as PHP per standard Reclub PH convention). Full venue operating hours and any court-rental or non-OP pricing are not available from any source; the Instagram ""pricelist"" highlight is behind a login wall and could not be retrieved."
ph-richmond-angono-tennis-court-angono,session_per_player,APC Open Play · Member (4-8 PM),60,PHP,member,wed,16:00,20:00,,,,high,Fees include unlimited ball use. Paddle stacking rules apply.,Fees (4-8 PM) ₱60 - Members,"Rates and schedule taken verbatim from Reclub meet listing for APC Open Play (Wednesdays). Legacy hints mention additional homeowner/indoor-covered-court rates (₱60 homeowner, ₱90 member, ₱130 non-member, ₱80 indoor) but these are not present in the provided sources, so not emitted. Pickleheads source was blocked by Cloudflare."
ph-richmond-angono-tennis-court-angono,session_per_player,APC Open Play · Non-member (4-8 PM),100,PHP,non_member,wed,16:00,20:00,,,,high,Fees include unlimited ball use. Paddle stacking rules apply.,₱100 - Non-members,"Rates and schedule taken verbatim from Reclub meet listing for APC Open Play (Wednesdays). Legacy hints mention additional homeowner/indoor-covered-court rates (₱60 homeowner, ₱90 member, ₱130 non-member, ₱80 indoor) but these are not present in the provided sources, so not emitted. Pickleheads source was blocked by Cloudflare."
ph-richmond-angono-tennis-court-angono,session_per_player,Extension Fee (9-10 PM),40,PHP,,wed,21:00,22:00,60,,,high,Add-on to base open play fee,Extension Fee (9-10 PM) ₱40 per player,"Rates and schedule taken verbatim from Reclub meet listing for APC Open Play (Wednesdays). Legacy hints mention additional homeowner/indoor-covered-court rates (₱60 homeowner, ₱90 member, ₱130 non-member, ₱80 indoor) but these are not present in the provided sources, so not emitted. Pickleheads source was blocked by Cloudflare."
ph-rodriguez-rizal-pickleball-club-rrpc-rodriguez,session_per_player,Sunday Open Play · Per Player,150,PHP,walk_in,sun,,,,,,low,"Paddle rental available at PHP 50 extra. Payment via GCash before play; No Pay No Play, No Show No Refund.",Sunday OP PHP 150/player + paddle rental PHP 50,No price figures appear anywhere in the current Reclub page scrape or any other fetched source; the PHP 150/player Sunday open play rate and PHP 50 paddle rental come exclusively from the legacy normaliser hint and cannot be verified with a verbatim source quote. Operating hours are inferred only from two upcoming-activity listings (Tue & Fri 6PM–10PM); hours for other days (including Sunday) are not confirmed from any source.
ph-sampaloc-tanay-pickleball-club-barangay-gym-tanay,free,Free open play · Weekend,0,PHP,walk_in,sat|sun,13:00,16:00,,,,high,2 covered courts at Barangay Gym. Contact James Umali (0928-725-2737) for participation.,"Sampaloc Tanay Pickleball Club Barangay Gym Tanay Rizal 2 Covered Courts Sat/Sun, 1p-4p Free James Umali 0928-725-2737","Price and schedule sourced directly from pickleball.ph PDF (Sep 1 2025), dual-confirmed by legacy Pickleheads note. The legacy flag about a ₱150-200 price range could not be corroborated in any available source; all readable sources consistently show Free. Facebook page was login-gated and yielded no pricing data."
ph-santa-maria-picklers-santa-maria,free,Daily Open Play,0,PHP,walk_in,,,,,,,medium,Games held in various venues within Santa Maria. Bring your own paddle and balls. Contact FB page to join.,"No court fees, just bring your paddle and balls.","Open play is explicitly free per the Reclub club description. Session end times are not provided — only start times are inferred from upcoming activity listings (4 PM weekdays, 3 PM weekends). The tournament entry fee ($250.00 on Reclub) is assumed to be PHP 250 based on legacy notes; the Reclub platform appears to use ""$"" as a generic currency symbol for PHP amounts. The tournament is a past one-off event and does not represent ongoing pricing."
ph-santa-maria-picklers-santa-maria,entry_fee,1st SMP Invitational Tournament Entry,250,PHP,walk_in,sat,08:00,,,,,medium,"One-time past tournament event (Feb 7, ended). Reclub displayed as $250.00; legacy notes confirm ₱250. Check FB page for updated details.",Per Player $250.00,"Open play is explicitly free per the Reclub club description. Session end times are not provided — only start times are inferred from upcoming activity listings (4 PM weekdays, 3 PM weekends). The tournament entry fee ($250.00 on Reclub) is assumed to be PHP 250 based on legacy notes; the Reclub platform appears to use ""$"" as a generic currency symbol for PHP amounts. The tournament is a past one-off event and does not represent ongoing pricing."
ph-sm-city-cabanatuan-pickleball-cabanatuan,free,Free open play,0,PHP,,,,,,,,medium,"Promotional free-play period as of September 2025. May transition to standard SM Active Hub rates (~₱250/head) in the future. Courts located at 2nd Level Garden Park, SM City Cabanatuan.","For now, it's absolutely free to play—a perfect chance to try out one of the fastest-growing sports in the world without worrying about fees.","Free-play status confirmed by Punto Central Luzon press release dated September 22, 2025, but no operating hours are stated in any source. The free pricing is explicitly described as temporary (""for now""), and the legacy normaliser notes a potential future shift to ~₱250/head SM Active Hub rates; no paid rate has been confirmed yet."
ph-solaire-sports-club-pickleball-paranaque,court_hour,Pickleball court · Walk-in,1200,PHP,walk_in,,,,60,,4,high,Good for up to 4 players. Up to 2 additional players at ₱200/person. ₱500 non-refundable reservation fee (discounted on visit).,"Walk-ins: PHP 1,200 per hour","Pickleball court rental is straightforward: ₱1,200 walk-in / ₱1,000 in-house, both per hour for up to 4 players with extras at ₱200/head. Membership listed separately with annual fee. Equipment/coaching rates (racket ₱200, ball machine ₱500, coach ₱1,500, hitting partner ₱1,000/hr) omitted as ancillary."
ph-solaire-sports-club-pickleball-paranaque,court_hour,Pickleball court · In-house hotel guest,1000,PHP,in_house,,,,60,,4,high,Good for up to 4 players. Up to 2 additional players at ₱200/person. ₱500 non-refundable reservation fee.,"In-house guests: PHP 1,000 per hour","Pickleball court rental is straightforward: ₱1,200 walk-in / ₱1,000 in-house, both per hour for up to 4 players with extras at ₱200/head. Membership listed separately with annual fee. Equipment/coaching rates (racket ₱200, ball machine ₱500, coach ₱1,500, hitting partner ₱1,000/hr) omitted as ancillary."
ph-solaire-sports-club-pickleball-paranaque,membership,Solaire Sports Club annual membership,25000,PHP,member,,,,,,,high,"Includes complimentary racket/golf club rentals, Poolside access with up to 3 guests (₱1,000/guest day pass), one complimentary 1-hour coaching session, discounted court/golf suite rates.","Membership is available for an annual fee of ₱25,000","Pickleball court rental is straightforward: ₱1,200 walk-in / ₱1,000 in-house, both per hour for up to 4 players with extras at ₱200/head. Membership listed separately with annual fee. Equipment/coaching rates (racket ₱200, ball machine ₱500, coach ₱1,500, hitting partner ₱1,000/hr) omitted as ancillary."
ph-south-city-homes-recreation-center-schrc-pickleball-binan,session_per_player,Open Play drop-in,200,PHP,walk_in,,,,,,,low,Rate per legacy Pickleheads note; not verified on Reclub page. Reclub club membership is free.,₱200/player one-time fee per Pickleheads,"Reclub page shows only activity schedule (no rates). Pickleheads source blocked by Cloudflare; ₱200/player figure comes from legacy notes referencing Pickleheads, not directly verified. Hours inferred from Reclub Open Play activity start times; close times unknown."
ph-sylvia-bf-homes-las-pinas,session_per_player,Open Play · Per Player (4-hour session),150,PHP,walk_in,,,,240,,12,medium,Capped at 12 players per court for open events. Game balls and official nets sponsored by Tecniq Sports. Game height tripod available free of charge. Per-court reservation also available — call/text 09456535470.,Cheap court fee 150 per head for 4 hours,"Price and session length are clearly stated on Reclub (""150 per head for 4 hours""). No operating hours are published on the Reclub page. Pickleheads was blocked by Cloudflare so no supplementary data could be retrieved. The legacy note mentions ₱150/player from pickleball.ph which is consistent but that source was not directly available."
ph-the-pickleball-club-ayala-malls-manila-bay-pasay,session_per_player,Friday Night Open Play,300,PHP,walk_in,fri,21:00,24:00,180,20,,medium,3 hours of open play across 3 courts. Minimum 20 players required for session to push through. Payment via GCash. All skill levels welcome. Organized by Palo Pilipinas community.,"Fee: 300 per head
Includes 3 hours of open play across 3 courts
* Minimum of 20 players required for the session to push through","Pricing (₱300/head) is clearly stated for the Friday Reclub session; Saturday and Wednesday rates are assumed to be the same as no separate figures are given. These are community-organized open play sessions by Palo Pilipinas, not a venue-published price schedule — general venue operating hours and any direct court rental rates are not available from the sources."
ph-the-pickleball-club-ayala-malls-manila-bay-pasay,session_per_player,Wednesday Night Open Play,300,PHP,walk_in,wed,21:00,24:00,180,20,,medium,Session schedule inferred from Palo Pilipinas upcoming activities (Wed @ 9:00 PM). Price assumed same as Friday sessions at ₱300/head; no separate rate explicitly stated for Wednesday.,"WED, MAY 20 @ 9:00 PM
Pickleball Open Play @ Ayala Malls Manila Bay","Pricing (₱300/head) is clearly stated for the Friday Reclub session; Saturday and Wednesday rates are assumed to be the same as no separate figures are given. These are community-organized open play sessions by Palo Pilipinas, not a venue-published price schedule — general venue operating hours and any direct court rental rates are not available from the sources."
ph-the-pickleball-club-ayala-malls-manila-bay-pasay,session_per_player,Saturday Evening Open Play,300,PHP,walk_in,sat,18:00,22:00,240,,,medium,"4 hours, 3 courts, Indoor Sports Center. Duration from Facebook post (Aug 2 session); price assumed same as Friday sessions at ₱300/head — not separately quoted for Saturday.","Sat, Aug 2 6:00 PM
Ayala Malls Manila Bay, Parañaque
4hours | 3 courts - Indoor Sports Center","Pricing (₱300/head) is clearly stated for the Friday Reclub session; Saturday and Wednesday rates are assumed to be the same as no separate figures are given. These are community-organized open play sessions by Palo Pilipinas, not a venue-published price schedule — general venue operating hours and any direct court rental rates are not available from the sources."
ph-the-pickleground-ph-cavite,session_per_player,Morning · Member,150,PHP,member,,07:00,12:00,,,,medium,,Morning (7AM–12NN) PHP 150 – Member,"Hours from FB intro ""OPEN DAILY 7AM-12MN"". Pricing taken from legacy notes (per-player open play tiers); Facebook page itself is behind login wall so rates could not be verified directly from source page."
ph-the-pickleground-ph-cavite,session_per_player,Morning · Non-Member,180,PHP,non_member,,07:00,12:00,,,,medium,,PHP 180 – Non-Member,"Hours from FB intro ""OPEN DAILY 7AM-12MN"". Pricing taken from legacy notes (per-player open play tiers); Facebook page itself is behind login wall so rates could not be verified directly from source page."
ph-the-pickleground-ph-cavite,session_per_player,Afternoon · Member,170,PHP,member,,12:00,18:00,,,,medium,,Afternoon (12NN–6PM) PHP 170 – Member,"Hours from FB intro ""OPEN DAILY 7AM-12MN"". Pricing taken from legacy notes (per-player open play tiers); Facebook page itself is behind login wall so rates could not be verified directly from source page."
ph-the-pickleground-ph-cavite,session_per_player,Afternoon · Non-Member,200,PHP,non_member,,12:00,18:00,,,,medium,,PHP 200 – Non-Member,"Hours from FB intro ""OPEN DAILY 7AM-12MN"". Pricing taken from legacy notes (per-player open play tiers); Facebook page itself is behind login wall so rates could not be verified directly from source page."
ph-the-pickleground-ph-cavite,session_per_player,Evening · Member,200,PHP,member,,18:00,24:00,,,,medium,,Evening (6PM–12MN) PHP 200 – Member,"Hours from FB intro ""OPEN DAILY 7AM-12MN"". Pricing taken from legacy notes (per-player open play tiers); Facebook page itself is behind login wall so rates could not be verified directly from source page."
ph-the-pickleground-ph-cavite,session_per_player,Evening · Non-Member,250,PHP,non_member,,18:00,24:00,,,,medium,,PHP 250 – Non-Member,"Hours from FB intro ""OPEN DAILY 7AM-12MN"". Pricing taken from legacy notes (per-player open play tiers); Facebook page itself is behind login wall so rates could not be verified directly from source page."
ph-the-smash-city-valenzuela-s-premier-pickleball-centre-valenzuela,court_hour,Private Court Booking – Off Peak (Weekday),350,PHP,,mon|tue|wed|thu|fri,08:00,17:00,60,,,high,Exclusive use of court for group. Rate applies to weekday bookings 8AM–5PM.,Private Court Booking - OFF Peak ... Rate applies to bookings from 8am to 5pm on weekdays. Php 350.00 / 60mins,"All four pricing tiers sourced verbatim from the official website (thesmashcity.com/services/). Operating hours are inferred from pricing window boundaries (earliest booking 8AM, peak end 11PM) — no explicit daily schedule table was published. Weekend opening/closing times are assumed to match weekday bounds; actual hours should be confirmed directly with the venue."
ph-the-smash-city-valenzuela-s-premier-pickleball-centre-valenzuela,court_hour,Private Court Booking – Peak (Weekday Evening),400,PHP,,mon|tue|wed|thu|fri,17:00,23:00,60,,,high,Exclusive use of court for group. Rate applies to bookings from 5pm to 11pm on weekdays.,Private Court Booking - Peak ... Rate applies to bookings from 5pm to 11pm or weekends. Php 400.00 / 60mins,"All four pricing tiers sourced verbatim from the official website (thesmashcity.com/services/). Operating hours are inferred from pricing window boundaries (earliest booking 8AM, peak end 11PM) — no explicit daily schedule table was published. Weekend opening/closing times are assumed to match weekday bounds; actual hours should be confirmed directly with the venue."
ph-the-smash-city-valenzuela-s-premier-pickleball-centre-valenzuela,court_hour,Private Court Booking – Peak (Weekend),400,PHP,,sat|sun,,,60,,,high,Exclusive use of court for group. Peak rate applies all day on weekends.,Private Court Booking - Peak ... Rate applies to bookings from 5pm to 11pm or weekends. Php 400.00 / 60mins,"All four pricing tiers sourced verbatim from the official website (thesmashcity.com/services/). Operating hours are inferred from pricing window boundaries (earliest booking 8AM, peak end 11PM) — no explicit daily schedule table was published. Weekend opening/closing times are assumed to match weekday bounds; actual hours should be confirmed directly with the venue."
ph-the-smash-city-valenzuela-s-premier-pickleball-centre-valenzuela,session_per_player,Open Play – Off Peak (Morning),200,PHP,walk_in,mon|tue|wed|thu|fri,08:00,12:00,,,,high,"Booked via Reclub app, scheduled one week in advance. Casual open play session.",Open Plays - OFF Peak ... Rate applies to sessions from 8am to 12nn. Php 200.00 / session,"All four pricing tiers sourced verbatim from the official website (thesmashcity.com/services/). Operating hours are inferred from pricing window boundaries (earliest booking 8AM, peak end 11PM) — no explicit daily schedule table was published. Weekend opening/closing times are assumed to match weekday bounds; actual hours should be confirmed directly with the venue."
ph-the-smash-city-valenzuela-s-premier-pickleball-centre-valenzuela,session_per_player,Open Play – Peak (Weekend),250,PHP,walk_in,sat|sun,,,,,,high,"Booked via Reclub app, scheduled one week in advance. Peak rate applies all day on weekends.",Open Plays - Peak ... Rate applies to sessions during weekends. Php 250.00 / session,"All four pricing tiers sourced verbatim from the official website (thesmashcity.com/services/). Operating hours are inferred from pricing window boundaries (earliest booking 8AM, peak end 11PM) — no explicit daily schedule table was published. Weekend opening/closing times are assumed to match weekday bounds; actual hours should be confirmed directly with the venue."
ph-vensand-pickleball-hub-rodriguez,session_per_player,Open Play · AC (per head),250,PHP,walk_in,,,,,,,medium,Air-conditioned open play; rate sourced from legacy normaliser notes only — no verbatim quote recoverable from scraped pages,₱250/head AC OP,"The ₱250/head open play rate and ₱20 ball rental appear only in legacy normaliser notes and could not be verified from any scraped source page; they are included but flagged accordingly. The ₱1,000 beginner training fee and ₱50 paddle rental are directly confirmed via the Reclub RRPC drills event listing. Operating hours were not recoverable from any source (Facebook only showed ""Closed now"" with no schedule); the Thursday 8–10AM training slot mentioned in legacy notes has no confirming source quote. Reclub displays the price as ""$1,000.00"" but all descriptive text unambiguously states PHP."
ph-vensand-pickleball-hub-rodriguez,session_per_player,Beginner Training (RRPC Drills),1000,PHP,walk_in,mon,18:00,20:00,120,,,medium,"Structured drills/lessons hosted by Rodriguez Rizal Pickleball Club (RRPC). Legacy notes also mention a Thu 8–10AM slot but not confirmed in scraped sources. Reclub UI displays $1,000.00 but all in-listing text confirms P1000 (PHP).",Begginers Training Fee: P1000,"The ₱250/head open play rate and ₱20 ball rental appear only in legacy normaliser notes and could not be verified from any scraped source page; they are included but flagged accordingly. The ₱1,000 beginner training fee and ₱50 paddle rental are directly confirmed via the Reclub RRPC drills event listing. Operating hours were not recoverable from any source (Facebook only showed ""Closed now"" with no schedule); the Thursday 8–10AM training slot mentioned in legacy notes has no confirming source quote. Reclub displays the price as ""$1,000.00"" but all descriptive text unambiguously states PHP."
ph-vensand-pickleball-hub-rodriguez,entry_fee,Paddle Rental,50,PHP,,,,,,,,medium,Add-on rental fee on top of session fee,Paddle Rental Fee: P50,"The ₱250/head open play rate and ₱20 ball rental appear only in legacy normaliser notes and could not be verified from any scraped source page; they are included but flagged accordingly. The ₱1,000 beginner training fee and ₱50 paddle rental are directly confirmed via the Reclub RRPC drills event listing. Operating hours were not recoverable from any source (Facebook only showed ""Closed now"" with no schedule); the Thursday 8–10AM training slot mentioned in legacy notes has no confirming source quote. Reclub displays the price as ""$1,000.00"" but all descriptive text unambiguously states PHP."
ph-vensand-pickleball-hub-rodriguez,entry_fee,Ball Rental,20,PHP,,,,,,,,medium,From legacy normaliser notes only; no verbatim quote recoverable from scraped pages,ball rental ₱20,"The ₱250/head open play rate and ₱20 ball rental appear only in legacy normaliser notes and could not be verified from any scraped source page; they are included but flagged accordingly. The ₱1,000 beginner training fee and ₱50 paddle rental are directly confirmed via the Reclub RRPC drills event listing. Operating hours were not recoverable from any source (Facebook only showed ""Closed now"" with no schedule); the Thursday 8–10AM training slot mentioned in legacy notes has no confirming source quote. Reclub displays the price as ""$1,000.00"" but all descriptive text unambiguously states PHP."
ph-violago-compound-pickleball-meycauayan,session_per_player,Daily Session · Per Player,100,PHP,walk_in,,17:00,21:00,,,,high,PDF lists as Indoor Court; venue metadata flags as outdoor — discrepancy noted.,"Violago Compound Calmalig Meycauayan NCR 1 Indoor Court Daily, 5p-9p p100/player","Price (₱100/player) and schedule (Daily 5p–9p) sourced directly from the Philippine Pickleball Federation PDF (Sept 1, 2025). Minor discrepancy: PDF lists the court as ""Indoor"" while venue metadata flags it as outdoor; Pickleheads source was blocked by Cloudflare so could not be verified."
ph-vital-mpact-gym-pickleball-cubao-quezon-city,session_per_player,Thursday Open Play · Walk-in,250,PHP,walk_in,thu,18:00,21:00,180,,,medium,1 indoor Taraflex court; beginner-friendly; paddle rental available for ₱100 extra; 1 extra paddle free to use; free parking; shower available; pay before play via GCash,Per Player $250.00 … ✔️6PM-9PM (3 hrs) ✔️1 Indoor court (Taraflex),"Only one Reclub event listing (Thursday evening open play at ₱250/player) was recoverable; no website or full Facebook post pricing was accessible. Operating hours for other days are unknown — only the Thursday 6–9 PM session is confirmed. Reclub displays the amount as ""$250.00"" but context (PHP venue, P100 paddle rental reference) confirms this is PHP 250."
